country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Ecuador;Americas;2016;16491116.0;5974947.0;-0.09;93.68204;74.85141;0.64215;105.2175;36.23130781446204;18.83063;0.0777072202379195;0.2634153765485162;0.2853989305551998;0.0062935453747815;0.3901515151515151;0.3334631326858882;13.658057525652564;21.968525421610856;96.52634273126093;Renforcer la gouvernance politique;0.9937064546252184;0.9368204;0.9652634273126093
Egypt;Eastern Mediterranean;2016;94447073.0;54799311.0;-1.44;99.03286;;2.2022;1915.882;58.02118505038266;;0.0118953616514646;;;0.0217339515236272;0.6458333333333333;0.5340112542480551;17.098977689848244;2.173395152362726;98.42973242381863;Renforcer la gouvernance politique;0.9782660484763728;0.9903286;0.9842973242381864
El Salvador;Americas;2016;6356143.0;1871635.0;-0.1;97.06386;;2.00514;127.2203;29.446080744250093;;0.0361128740246577;;;0.0197835740128477;0.3920454545454546;0.2710137426057758;10.25008095960407;1.9783574012847789;97.5427512993576;Renforcer la gouvernance politique;0.9802164259871522;0.9706386;0.9754275129935761
Equatorial Guinea;Africa;2016;1215180.0;352550.0;-0.14;64.42552;;22.28946;272.2647;29.012162807156137;;0.4375447698044887;;;0.2205451773288656;0.3996212121212121;0.2670200795734358;33.213746461626705;22.054517732886566;71.18550113355673;Renforcer la gouvernance politique;0.7794548226711344;0.6442552;0.7118550113355673
Eritrea;Africa;2016;3376557.0;3030917.0;-0.66;51.84972;;45.56445;2257.556;89.76353723630314;;0.5922195245545159;;;0.450906575175295;0.4981060606060606;0.8261592565487266;62.70732068079739;45.0906575175295;53.37953124123524;Créer ou étendre les services d'eau;0.549093424824705;0.5184972;0.5337953124123525
Estonia;Europe;2016;1316510.0;412594.0;0.67;99.71165;93.64887;0.00627;0.08229;31.339982225733188;6.062780000000004;0.0035466540720843;0.0665240198539391;0.0918881061436317;0.0;0.2462121212121212;0.2884446982932686;8.81294038204185;6.209664608454372;99.85582500000001;Renforcer la gouvernance politique;1.0;0.9971165000000001;0.9985582500000001
Eswatini;Africa;2016;1113997.0;1028023.0;-0.49;68.9483;;27.89303;374.6307;92.2823849615394;;0.3819173037754229;;;0.2760058335151976;0.4659090909090908;0.8493420480040418;49.56668594789522;27.600583351519763;70.67385832424013;Créer ou étendre les services d'eau;0.7239941664848024;0.6894830000000001;0.7067385832424012
Ethiopia;Africa;2016;103603462.0;82059981.0;-1.62;40.04142;10.86826;43.66399;44713.33;79.205829048454;29.173160000000003;0.7374544922317009;0.9335979016924784;0.4421513600403031;0.4320970022323538;0.6799242424242424;0.7289889732033834;65.8575464023369;66.12914322221923;48.41585988838231;Moderniser les services d'eau;0.5679029977676462;0.4004142;0.48415859888382307
Falkland Islands (Malvinas);Americas;2016;2928.0;677.0;;;;;;23.12158469945355;;;;;;;0.2128047959523087;21.28047959523088;;;Créer ou étendre les services d'eau;;;
Faroe Islands;Europe;2016;48173.0;28598.0;;;;;;59.36520457517697;;;;;;;0.5463812455115228;54.63812455115228;;;Créer ou étendre les services d'eau;;;
Fiji;Western Pacific;2016;872399.0;402329.0;0.92;93.74462;;2.88769;25.95353;46.11754483900142;;0.0769375239838239;;;0.0285185058718675;0.1988636363636363;0.4244533775194521;16.908752551652327;2.851850587186754;95.44638470640663;Créer ou étendre les services d'eau;0.9714814941281325;0.9374462;0.9544638470640663
Finland;Europe;2016;5497713.0;810329.0;1.0;100.0;99.63187;0.03616;1.99014;14.739383449081464;0.3681299999999936;1.2299396845438793e-07;0.0038559260208546;0.0055794154685894;0.0002958326590743;0.1837121212121211;0.1356572885516254;4.0771200077542025;0.3747128655205745;99.98520836704627;Renforcer la gouvernance politique;0.9997041673409256;1.0;0.9998520836704627
France;Europe;2016;64667596.0;12998038.0;-0.1;100.0;97.78383;0.26542;171.7787;20.09976990639949;2.2161700000000053;1.2299396845438793e-07;0.0232129616429996;0.0335884963980768;0.0025649057744773;0.3920454545454546;0.1849928319887515;5.613913138753061;2.271478763357224;99.87175471127614;Renforcer la gouvernance politique;0.9974350942255227;1.0;0.9987175471127614
French Guyana;Americas;2016;267821.0;42001.0;;;;;;15.682489423906263;;;;;;;0.1443373802124162;14.433738021241624;;;Créer ou étendre les services d'eau;;;
French Polynesia;Western Pacific;2016;274575.0;107226.0;;;;;;39.05162523900574;;;;;;;0.3594205695074633;35.942056950746334;;;Créer ou étendre les services d'eau;;;
Gabon;Africa;2016;2007873.0;226498.0;-0.1;85.62704;;20.57946;407.4295;11.280494334053996;;0.1767788617646192;;;0.2036206591951352;0.3920454545454546;0.1038226110451793;16.160243590641628;20.36206591951353;82.63248704024323;Renforcer la gouvernance politique;0.7963793408048647;0.8562704;0.8263248704024324
